Puerto,Protocolo,Servicio,Version_Completa,CVSS_Score,Criticidad_NVD,Criticidad_Joaquin
22,tcp,ssh,OpenSSH 7.2p2 Ubuntu 4ubuntu2.2,0.0,INFO,BAJO
49153,tcp,msrpc,Microsoft Windows RPC,0.0,INFO,MEDIO
21,tcp,ftp,vsftpd 2.3.4,0.0,INFO,CRÍTICO
49154,tcp,msrpc,Microsoft Windows RPC,0.0,INFO,MEDIO
25,tcp,smtp,Postfix smtpd,5.0,MEDIO,MEDIO
8081,tcp,http,Jetty 6.1.25,0.0,INFO,ALTO
1524,tcp,bindshell,Metasploitable root shell,0.0,INFO,CRÍTICO
512,tcp,exec,netkit-rsh rexecd,0.0,INFO,CRÍTICO
5900,tcp,vnc,VNC,3.5,BAJO,ALTO
49156,tcp,msrpc,Microsoft Windows RPC,0.0,INFO,MEDIO
8009,tcp,ajp13,Apache Jserv,0.0,INFO,CRÍTICO
111,tcp,rpcbind,2,5.0,MEDIO,BAJO
8080,tcp,http,Apache Tomcat/Coyote JSP engine 1.1,0.0,INFO,CRÍTICO
513,tcp,login,desconocido,0.0,INFO,CRÍTICO
37619,tcp,nlockmgr,1-4,0.0,INFO,BAJO
41181,tcp,java-rmi,GNU Classpath grmiregistry,0.0,INFO,CRÍTICO
23,tcp,telnet,Linux telnetd,6.7,MEDIO,CRÍTICO
2049,tcp,nfs,2-4,0.0,INFO,CRÍTICO
445,tcp,netbios-ssn,Samba smbd 3.0.20-Debian,0.0,INFO,CRÍTICO
80,tcp,http,Apache httpd 2.2.8,0.0,INFO,CRÍTICO
25,tcp,smtp,Postfix smtpd,7.5,ALTO,MEDIO
8180,tcp,http,Apache Tomcat/Coyote JSP engine 1.1,0.0,INFO,CRÍTICO
23,tcp,telnet,Linux telnetd,9.8,CRÍTICO,CRÍTICO
445,tcp,netbios-ssn,Samba smbd 3.X - 4.X,0.0,INFO,CRÍTICO
3306,tcp,mysql,MySQL 5.0.51a-3ubuntu5,0.0,INFO,CRÍTICO
135,tcp,msrpc,Microsoft Windows RPC,0.0,INFO,MEDIO
60683,tcp,status,1,7.2,ALTO,BAJO
139,tcp,netbios-ssn,Microsoft Windows netbios-ssn,0.0,INFO,MEDIO
22,tcp,ssh,OpenSSH 5.3p1 Debian 3ubuntu4,0.0,INFO,MEDIO
49155,tcp,msrpc,Microsoft Windows RPC,0.0,INFO,MEDIO
1099,tcp,java-rmi,GNU Classpath grmiregistry,0.0,INFO,CRÍTICO
60683,tcp,status,1,0.0,INFO,BAJO
6000,tcp,X11,desconocido,0.0,INFO,ALTO
5900,tcp,vnc,VNC,0.0,INFO,ALTO
5900,tcp,vnc,VNC,10.0,CRÍTICO,ALTO
443,tcp,http,Apache httpd 2.2.14,0.0,INFO,CRÍTICO
445,tcp,netbios-ssn,Samba smbd 3.0.20-Debian,0.0,INFO,CRÍTICO
8787,tcp,drb,Ruby DRb RMI,0.0,INFO,CRÍTICO
49152,tcp,msrpc,Microsoft Windows RPC,0.0,INFO,MEDIO
143,tcp,imap,Courier Imapd,0.0,INFO,MEDIO
60683,tcp,status,1,5.0,MEDIO,BAJO
6697,tcp,irc,UnrealIRCd,0.0,INFO,CRÍTICO
5001,tcp,java-object,Java Object Serialization,0.0,INFO,CRÍTICO
22,tcp,ssh,OpenSSH 4.7p1 Debian 8ubuntu1,0.0,INFO,CRÍTICO
5432,tcp,postgresql,PostgreSQL DB 8.3.0 - 8.3.7,0.0,INFO,CRÍTICO
23,tcp,telnet,Linux telnetd,7.5,ALTO,CRÍTICO
21,tcp,ftp,ProFTPD 1.3.3c,10.0,CRÍTICO,CRÍTICO
60683,tcp,status,1,9.3,CRÍTICO,BAJO
43249,tcp,mountd,1-3,0.0,INFO,BAJO
5900,tcp,vnc,VNC,4.6,MEDIO,ALTO
